Country,Region,Year,Population,Life.Expectancy,Health.Expenditure
Tennessee,Sub-Saharan Africa,2015,6600299,1066,"654,192"
Texas,Sub-Saharan Africa,2015,27469114,3179,"1,574,266"
Utah,East Asia & Pacific,2015,2995919,354,"254,814"
Vermont,South Asia,2015,626042,70,"34,588"
Virginia,Sub-Saharan Africa,2015,8382993,934,"462,997"
Washington,Middle East & North Africa,2015,7170351,699,"502,280"
West Virginia,Sub-Saharan Africa,2015,1844128,265,"249,014"
Wisconsin,Sub-Saharan Africa,2015,5771337,599,"383,280"
Wyoming,Latin America & Caribbean,2015,586107,108,"62,339"
Alabama,East Asia & Pacific,2016,4863300,1025,"616,947"
Alaska,Europe & Central Asia,2016,741894,158,"87,647"
Arizona,East Asia & Pacific,2016,6931071,1073,"416,279"
Arkansas,Europe & Central Asia,2016,2988248,535,"266,014"
California,Middle East & North Africa,2016,39250017,3110,"2,377,167"
Colorado,Sub-Saharan Africa,2016,5540545,785,"540,514"
Connecticut,East Asia & Pacific,2016,3576452,165,"317,692"
Delaware,Sub-Saharan Africa,2016,952065,109,"59,430"
District of Columbia,South Asia,2016,681170,98,875
Florida,Europe & Central Asia,2016,20612439,2690,"1,435,340"
Georgia,East Asia & Pacific,2016,10310371,1557,"612,985"
Hawaii,Latin America & Caribbean,2016,1428557,59,"16,681"
Idaho,Sub-Saharan Africa,2016,1683140,230,"156,343"
Illinois,Sub-Saharan Africa,2016,12801539,1474,"1,924,070"
Indiana,Europe & Central Asia,2016,6633053,979,"1,436,725"
Iowa,Middle East & North Africa,2016,3134693,277,"202,277"
Kansas,South Asia,2016,2907289,370,"196,548"
Kentucky,Latin America & Caribbean,2016,4436974,750,"3,676,847"
Louisiana,East Asia & Pacific,2016,4681666,979,"391,869"
Maine,Latin America & Caribbean,2016,1331479,112,"111,582"
Maryland,Latin America & Caribbean,2016,6016447,687,"165,367"
Massachusetts,East Asia & Pacific,2016,6811779,229,"226,212"
Michigan,Europe & Central Asia,2016,9928300,1225,"579,605"
Minnesota,Europe & Central Asia,2016,5519952,415,"651,599"
Mississippi,Middle East & North Africa,2016,2988726,581,"276,161"
Missouri,Europe & Central Asia,2016,6093000,1127,"632,319"
Montana,Europe & Central Asia,2016,1042520,180,"136,337"
Nebraska,Sub-Saharan Africa,2016,1907116,161,"88,663"
Nevada,East Asia & Pacific,2016,2940058,483,"147,992"
New Hampshire,Europe & Central Asia,2016,1334795,123,"165,164"
New Jersey,Sub-Saharan Africa,2016,8944469,473,"121,853"
New Mexico,Middle East & North Africa,2016,2081015,356,"161,216"
New York,Sub-Saharan Africa,2016,19745289,880,"404,772"
North Carolina,Europe & Central Asia,2016,10146788,1385,"601,445"
North Dakota,Sub-Saharan Africa,2016,757952,85,"72,036"
Ohio,Sub-Saharan Africa,2016,11614373,1509,"875,724"
Oklahoma,East Asia & Pacific,2016,3923561,755,"364,590"
Oregon,Europe & Central Asia,2016,4093465,492,"324,708"
Pennsylvania,Europe & Central Asia,2016,12784227,1540,"1,143,220"
Rhode Island,East Asia & Pacific,2016,1056426,48,"27,758"
South Carolina,Sub-Saharan Africa,2016,4961119,882,"402,978"
South Dakota,Sub-Saharan Africa,2016,865454,98,"111,921"
Tennessee,Europe & Central Asia,2016,6651194,1140,"714,774"
Texas,South Asia,2016,27862596,3318,"1,721,726"
Utah,Latin America & Caribbean,2016,3051217,357,"294,907"
Vermont,Latin America & Caribbean,2016,624594,69,"39,417"
Virginia,Latin America & Caribbean,2016,8411808,1024,"528,369"
Washington,Sub-Saharan Africa,2016,7288000,661,"713,996"
West Virginia,Latin America & Caribbean,2016,1831102,316,"242,350"
Wisconsin,Sub-Saharan Africa,2016,5778708,643,"561,819"
Wyoming,Europe & Central Asia,2016,585501,98,"63,594"
Alabama,Europe & Central Asia,2017,4874747,1116,"477,345"
Alaska,Middle East & North Africa,2017,739795,165,"80,839"
Arizona,Europe & Central Asia,2017,7016270,1115,"384,930"
Arkansas,Sub-Saharan Africa,2017,3004279,603,"237,629"
California,East Asia & Pacific,2017,39536653,3098,"1,570,110"
Colorado,Sub-Saharan Africa,2017,5607154,752,"496,995"
Connecticut,East Asia & Pacific,2017,3588184,182,"181,779"
Delaware,Latin America & Caribbean,2017,961939,107,"50,639"
District of Columbia,Middle East & North Africa,2017,693972,90,"1,540"
Florida,Europe & Central Asia,2017,20984400,2706,"1,276,549"
Georgia,Europe & Central Asia,2017,10429379,1595,"541,655"
Hawaii,Sub-Saharan Africa,2017,1427538,30,"12,742"
Idaho,Europe & Central Asia,2017,1716943,271,"182,099"
Illinois,Middle East & North Africa,2017,12802023,1533,"1,601,087"
Indiana,Europe & Central Asia,2017,6666818,1003,"830,357"
Iowa,North America,2017,3145711,286,"160,981"
Kansas,Latin America & Caribbean,2017,2913123,463,"191,451"
Kentucky,Europe & Central Asia,2017,4454189,713,"4,641,480"
Louisiana,East Asia & Pacific,2017,4684333,988,"329,201"
Maine,Latin America & Caribbean,2017,1335907,161,"96,590"
Maryland,East Asia & Pacific,2017,6052177,725,"158,659"
Massachusetts,Middle East & North Africa,2017,6859819,255,"206,492"
Michigan,Sub-Saharan Africa,2017,9962311,1120,"513,243"
Minnesota,Sub-Saharan Africa,2017,5576606,443,"683,544"
Mississippi,Europe & Central Asia,2017,2984100,626,"251,852"
Missouri,Middle East & North Africa,2017,6113532,1295,"524,973"
Montana,Sub-Saharan Africa,2017,1050493,234,"123,938"
Nebraska,Latin America & Caribbean,2017,1920076,155,"74,318"
Nevada,Europe & Central Asia,2017,2998039,482,"129,622"
New Hampshire,East Asia & Pacific,2017,1342795,132,"129,090"
New Jersey,Europe & Central Asia,2017,9005644,465,"103,739"
New Mexico,Europe & Central Asia,2017,2088070,362,"159,779"
New York,Latin America & Caribbean,2017,19849399,745,"382,495"
North Carolina,Middle East & North Africa,2017,10273419,1405,"537,813"
North Dakota,South Asia,2017,755393,93,"66,977"
Ohio,Latin America & Caribbean,2017,11658609,1568,"753,072"
Oklahoma,Europe & Central Asia,2017,3930864,667,"334,351"
Oregon,Europe & Central Asia,2017,4142776,512,"341,167"
Pennsylvania,Latin America & Caribbean,2017,12805537,1608,"1,062,651"
Rhode Island,Sub-Saharan Africa,2017,1059639,43,"24,677"
South Carolina,South Asia,2017,5024369,884,"396,920"
South Dakota,Latin America & Caribbean,2017,869666,94,"98,573"
Tennessee,Europe & Central Asia,2017,6715984,1229,"767,953"
Texas,Sub-Saharan Africa,2017,28304596,3476,"1,549,434"
Utah,Latin America & Caribbean,2017,3101833,397,"270,477"
Vermont,East Asia & Pacific,2017,623657,62,"37,610"
Virginia,Europe & Central Asia,2017,8470020,1017,"520,827"
Washington,Sub-Saharan Africa,2017,7405743,804,"579,678"
West Virginia,Sub-Saharan Africa,2017,1815857,336,"222,768"
Wisconsin,East Asia & Pacific,2017,5795483,594,"526,523"
Wyoming,Sub-Saharan Africa,2017,579315,99,"54,711"
,North America,,,,
,Sub-Saharan Africa,,,,
,Sub-Saharan Africa,,,,
,Sub-Saharan Africa,,,,
,Latin America & Caribbean,,,,
,East Asia & Pacific,,,,
,Latin America & Caribbean,,,,
,Sub-Saharan Africa,,,,
,Sub-Saharan Africa,,,,
,Sub-Saharan Africa,,,,
,Latin America & Caribbean,,,,
,Sub-Saharan Africa,,,,
,Europe & Central Asia,,,,
,Latin America & Caribbean,,,,
,Europe & Central Asia,,,,
,Europe & Central Asia,,,,
,Europe & Central Asia,,,,
,Middle East & North Africa,,,,
,Latin America & Caribbean,,,,
,Latin America & Caribbean,,,,
,Middle East & North Africa,,,,
,Latin America & Caribbean,,,,
,Sub-Saharan Africa,,,,
,Sub-Saharan Africa,,,,
,Europe & Central Asia,,,,
,Sub-Saharan Africa,,,,
,East Asia & Pacific,,,,
,Europe & Central Asia,,,,
,Europe & Central Asia,,,,
,Sub-Saharan Africa,,,,
,Sub-Saharan Africa,,,,
,Europe & Central Asia,,,,
,Europe & Central Asia,,,,
,Sub-Saharan Africa,,,,
,Europe & Central Asia,,,,
,Latin America & Caribbean,,,,
,Latin America & Caribbean,,,,
,Sub-Saharan Africa,,,,
,Sub-Saharan Africa,,,,
,Latin America & Caribbean,,,,
,Latin America & Caribbean,,,,
,Latin America & Caribbean,,,,
,Europe & Central Asia,,,,
,Europe & Central Asia,,,,
,South Asia,,,,
,East Asia & Pacific,,,,
,Middle East & North Africa,,,,
,Middle East & North Africa,,,,
,Europe & Central Asia,,,,
,Middle East & North Africa,,,,
,Europe & Central Asia,,,,
,Latin America & Caribbean,,,,
,East Asia & Pacific,,,,
,Middle East & North Africa,,,,
,Europe & Central Asia,,,,
,Sub-Saharan Africa,,,,
,East Asia & Pacific,,,,
,Middle East & North Africa,,,,
,Europe & Central Asia,,,,
,East Asia & Pacific,,,,
,Europe & Central Asia,,,,
,Middle East & North Africa,,,,
,Sub-Saharan Africa,,,,
,Sub-Saharan Africa,,,,
,Middle East & North Africa,,,,
,Europe & Central Asia,,,,
,Europe & Central Asia,,,,
,Europe & Central Asia,,,,
,Sub-Saharan Africa,,,,
,Sub-Saharan Africa,,,,
,East Asia & Pacific,,,,
,South Asia,,,,
,Sub-Saharan Africa,,,,
,Middle East & North Africa,,,,
,Sub-Saharan Africa,,,,
,Sub-Saharan Africa,,,,
,Latin America & Caribbean,,,,
,East Asia & Pacific,,,,
,Europe & Central Asia,,,,
,East Asia & Pacific,,,,
,Europe & Central Asia,,,,
,Middle East & North Africa,,,,
,Sub-Saharan Africa,,,,
,East Asia & Pacific,,,,
,Sub-Saharan Africa,,,,
,South Asia,,,,
,Europe & Central Asia,,,,
,East Asia & Pacific,,,,
,Latin America & Caribbean,,,,
,Sub-Saharan Africa,,,,
,Sub-Saharan Africa,,,,
,Europe & Central Asia,,,,
,Middle East & North Africa,,,,
,South Asia,,,,
,Latin America & Caribbean,,,,
,East Asia & Pacific,,,,
,Latin America & Caribbean,,,,
,Latin America & Caribbean,,,,
,East Asia & Pacific,,,,
,Europe & Central Asia,,,,
,Europe & Central Asia,,,,
,Middle East & North Africa,,,,
,Europe & Central Asia,,,,
,Europe & Central Asia,,,,
,Sub-Saharan Africa,,,,
,East Asia & Pacific,,,,
,Europe & Central Asia,,,,
,Sub-Saharan Africa,,,,
,Middle East & North Africa,,,,
,Sub-Saharan Africa,,,,
,Sub-Saharan Africa,,,,
,East Asia & Pacific,,,,
,Europe & Central Asia,,,,
,Europe & Central Asia,,,,
,East Asia & Pacific,,,,
,Sub-Saharan Africa,,,,
,Sub-Saharan Africa,,,,
,Europe & Central Asia,,,,
,South Asia,,,,
,Latin America & Caribbean,,,,
,Latin America & Caribbean,,,,
,Sub-Saharan Africa,,,,
,Latin America & Caribbean,,,,
,Sub-Saharan Africa,,,,
,Europe & Central Asia,,,,
,Europe & Central Asia,,,,
,Middle East & North Africa,,,,
,Europe & Central Asia,,,,
,Sub-Saharan Africa,,,,
,East Asia & Pacific,,,,
,Sub-Saharan Africa,,,,
,East Asia & Pacific,,,,
,Latin America & Caribbean,,,,
,Middle East & North Africa,,,,
,Europe & Central Asia,,,,
,Europe & Central Asia,,,,
,Sub-Saharan Africa,,,,
,Europe & Central Asia,,,,
,Middle East & North Africa,,,,
,Europe & Central Asia,,,,
,North America,,,,
,Latin America & Caribbean,,,,
,Europe & Central Asia,,,,
,East Asia & Pacific,,,,
,Latin America & Caribbean,,,,
,East Asia & Pacific,,,,
,Middle East & North Africa,,,,
,Sub-Saharan Africa,,,,
,Sub-Saharan Africa,,,,
,Europe & Central Asia,,,,
,Middle East & North Africa,,,,
,Sub-Saharan Africa,,,,
,Latin America & Caribbean,,,,
,Europe & Central Asia,,,,
,East Asia & Pacific,,,,
,Europe & Central Asia,,,,
,Europe & Central Asia,,,,
,Latin America & Caribbean,,,,
,Middle East & North Africa,,,,
,South Asia,,,,
,Latin America & Caribbean,,,,
,Europe & Central Asia,,,,
,Europe & Central Asia,,,,
,Latin America & Caribbean,,,,
,Sub-Saharan Africa,,,,
,South Asia,,,,
,Latin America & Caribbean,,,,
,Europe & Central Asia,,,,
,Sub-Saharan Africa,,,,
,Latin America & Caribbean,,,,
,East Asia & Pacific,,,,
,Europe & Central Asia,,,,
,Sub-Saharan Africa,,,,
,Sub-Saharan Africa,,,,
,East Asia & Pacific,,,,
,Sub-Saharan Africa,,,,
,North America,,,,
,Sub-Saharan Africa,,,,
,Sub-Saharan Africa,,,,
,Sub-Saharan Africa,,,,
,Latin America & Caribbean,,,,
,East Asia & Pacific,,,,
,Latin America & Caribbean,,,,
,Sub-Saharan Africa,,,,
,Sub-Saharan Africa,,,,
,Sub-Saharan Africa,,,,
,Latin America & Caribbean,,,,
,Sub-Saharan Africa,,,,
,Europe & Central Asia,,,,
,Latin America & Caribbean,,,,
,Europe & Central Asia,,,,
,Europe & Central Asia,,,,
,Europe & Central Asia,,,,
,Middle East & North Africa,,,,
,Latin America & Caribbean,,,,
,Latin America & Caribbean,,,,
,Middle East & North Africa,,,,
,Latin America & Caribbean,,,,
,Sub-Saharan Africa,,,,
,Sub-Saharan Africa,,,,
,Europe & Central Asia,,,,
,Sub-Saharan Africa,,,,
,East Asia & Pacific,,,,
,Europe & Central Asia,,,,
,Europe & Central Asia,,,,
,Sub-Saharan Africa,,,,
,Sub-Saharan Africa,,,,
,Europe & Central Asia,,,,
,Europe & Central Asia,,,,
,Sub-Saharan Africa,,,,
,Europe & Central Asia,,,,
,Latin America & Caribbean,,,,
,Latin America & Caribbean,,,,
,Sub-Saharan Africa,,,,
,Sub-Saharan Africa,,,,
,Latin America & Caribbean,,,,
,Latin America & Caribbean,,,,
,Latin America & Caribbean,,,,
,Europe & Central Asia,,,,
,Europe & Central Asia,,,,
,South Asia,,,,
,East Asia & Pacific,,,,
,Middle East & North Africa,,,,
,Middle East & North Africa,,,,
,Europe & Central Asia,,,,
,Middle East & North Africa,,,,
,Europe & Central Asia,,,,
,Latin America & Caribbean,,,,
,East Asia & Pacific,,,,
,Middle East & North Africa,,,,
,Europe & Central Asia,,,,
,Sub-Saharan Africa,,,,
,East Asia & Pacific,,,,
,Middle East & North Africa,,,,
,Europe & Central Asia,,,,
,East Asia & Pacific,,,,
,Europe & Central Asia,,,,
,Middle East & North Africa,,,,
,Sub-Saharan Africa,,,,
,Sub-Saharan Africa,,,,
,Middle East & North Africa,,,,
,Europe & Central Asia,,,,
,Europe & Central Asia,,,,
,Europe & Central Asia,,,,
,Sub-Saharan Africa,,,,
,Sub-Saharan Africa,,,,
,East Asia & Pacific,,,,
,South Asia,,,,
,Sub-Saharan Africa,,,,
,Middle East & North Africa,,,,
,East Asia & Pacific,,,,
,Sub-Saharan Africa,,,,
,Sub-Saharan Africa,,,,
,Latin America & Caribbean,,,,
,East Asia & Pacific,,,,
,Europe & Central Asia,,,,
,East Asia & Pacific,,,,
,Europe & Central Asia,,,,
,Middle East & North Africa,,,,
,Sub-Saharan Africa,,,,
,East Asia & Pacific,,,,
,Sub-Saharan Africa,,,,
,South Asia,,,,
,Europe & Central Asia,,,,
,East Asia & Pacific,,,,
,Latin America & Caribbean,,,,
,Sub-Saharan Africa,,,,
,Sub-Saharan Africa,,,,
,Europe & Central Asia,,,,
,Middle East & North Africa,,,,
,South Asia,,,,
,Latin America & Caribbean,,,,
,East Asia & Pacific,,,,
,Latin America & Caribbean,,,,
,Latin America & Caribbean,,,,
,East Asia & Pacific,,,,
,Europe & Central Asia,,,,
,Europe & Central Asia,,,,
,Middle East & North Africa,,,,
,Europe & Central Asia,,,,
,Europe & Central Asia,,,,
,Sub-Saharan Africa,,,,
,East Asia & Pacific,,,,
,Europe & Central Asia,,,,
,Sub-Saharan Africa,,,,
,Middle East & North Africa,,,,
,Sub-Saharan Africa,,,,
,Sub-Saharan Africa,,,,
,East Asia & Pacific,,,,
,Europe & Central Asia,,,,
,Europe & Central Asia,,,,
,East Asia & Pacific,,,,
,Sub-Saharan Africa,,,,
,Sub-Saharan Africa,,,,
,Europe & Central Asia,,,,
,South Asia,,,,
,Latin America & Caribbean,,,,
,Latin America & Caribbean,,,,
,Sub-Saharan Africa,,,,
,Latin America & Caribbean,,,,
,Sub-Saharan Africa,,,,
,Europe & Central Asia,,,,
,Europe & Central Asia,,,,
,Middle East & North Africa,,,,
,Europe & Central Asia,,,,
,Sub-Saharan Africa,,,,
,East Asia & Pacific,,,,
,Sub-Saharan Africa,,,,
,East Asia & Pacific,,,,
,Latin America & Caribbean,,,,
,Middle East & North Africa,,,,
,Europe & Central Asia,,,,
,Europe & Central Asia,,,,
,Sub-Saharan Africa,,,,
,Europe & Central Asia,,,,
,Middle East & North Africa,,,,
,Europe & Central Asia,,,,
,North America,,,,
,Latin America & Caribbean,,,,
,Europe & Central Asia,,,,
,East Asia & Pacific,,,,
,Latin America & Caribbean,,,,
,East Asia & Pacific,,,,
,Middle East & North Africa,,,,
,Sub-Saharan Africa,,,,
,Sub-Saharan Africa,,,,
,Europe & Central Asia,,,,
,Middle East & North Africa,,,,
,Sub-Saharan Africa,,,,
,Latin America & Caribbean,,,,
,Europe & Central Asia,,,,
,East Asia & Pacific,,,,
,Europe & Central Asia,,,,
,Europe & Central Asia,,,,
,Latin America & Caribbean,,,,
,Middle East & North Africa,,,,
,South Asia,,,,
,Latin America & Caribbean,,,,
,Europe & Central Asia,,,,
,Europe & Central Asia,,,,
,Latin America & Caribbean,,,,
,Sub-Saharan Africa,,,,
,South Asia,,,,
,Latin America & Caribbean,,,,
,Europe & Central Asia,,,,
,Sub-Saharan Africa,,,,
,Latin America & Caribbean,,,,
,East Asia & Pacific,,,,
,Europe & Central Asia,,,,
,Sub-Saharan Africa,,,,
,Sub-Saharan Africa,,,,
,East Asia & Pacific,,,,
,Sub-Saharan Africa,,,,
,North America,,,,
,Sub-Saharan Africa,,,,
,Sub-Saharan Africa,,,,
,Sub-Saharan Africa,,,,
,Latin America & Caribbean,,,,
,East Asia & Pacific,,,,
,Latin America & Caribbean,,,,
,Sub-Saharan Africa,,,,
,Sub-Saharan Africa,,,,
,Sub-Saharan Africa,,,,
,Latin America & Caribbean,,,,
,Sub-Saharan Africa,,,,
,Europe & Central Asia,,,,
,Latin America & Caribbean,,,,
,Europe & Central Asia,,,,
,Europe & Central Asia,,,,
,Europe & Central Asia,,,,
,Middle East & North Africa,,,,
,Latin America & Caribbean,,,,
,Latin America & Caribbean,,,,
,Middle East & North Africa,,,,
,Latin America & Caribbean,,,,
,Sub-Saharan Africa,,,,
,Sub-Saharan Africa,,,,
,Europe & Central Asia,,,,
,Sub-Saharan Africa,,,,
,East Asia & Pacific,,,,
,Europe & Central Asia,,,,
,Europe & Central Asia,,,,
,Sub-Saharan Africa,,,,
,Sub-Saharan Africa,,,,
,Europe & Central Asia,,,,
,Europe & Central Asia,,,,
,Sub-Saharan Africa,,,,
,Europe & Central Asia,,,,
,Latin America & Caribbean,,,,
,Latin America & Caribbean,,,,
,Sub-Saharan Africa,,,,
,Sub-Saharan Africa,,,,
,Latin America & Caribbean,,,,
,Latin America & Caribbean,,,,
,Latin America & Caribbean,,,,
,Europe & Central Asia,,,,
,Europe & Central Asia,,,,
,South Asia,,,,
,East Asia & Pacific,,,,
,Middle East & North Africa,,,,
,Middle East & North Africa,,,,
,Europe & Central Asia,,,,
,Middle East & North Africa,,,,
,Europe & Central Asia,,,,
,Latin America & Caribbean,,,,
,East Asia & Pacific,,,,
,Middle East & North Africa,,,,
,Europe & Central Asia,,,,
,Sub-Saharan Africa,,,,
,East Asia & Pacific,,,,
,East Asia & Pacific,,,,
,Middle East & North Africa,,,,
,Europe & Central Asia,,,,
,East Asia & Pacific,,,,
,Europe & Central Asia,,,,
,Middle East & North Africa,,,,
,Sub-Saharan Africa,,,,
,Sub-Saharan Africa,,,,
,Middle East & North Africa,,,,
,Europe & Central Asia,,,,
,Europe & Central Asia,,,,
,Europe & Central Asia,,,,
,Sub-Saharan Africa,,,,
,Sub-Saharan Africa,,,,
,East Asia & Pacific,,,,
,South Asia,,,,
,Sub-Saharan Africa,,,,
,Middle East & North Africa,,,,
,East Asia & Pacific,,,,
,Sub-Saharan Africa,,,,
,Sub-Saharan Africa,,,,
,Latin America & Caribbean,,,,
,East Asia & Pacific,,,,
,Europe & Central Asia,,,,
,East Asia & Pacific,,,,
,Europe & Central Asia,,,,
,Middle East & North Africa,,,,
,Sub-Saharan Africa,,,,
,East Asia & Pacific,,,,
,Sub-Saharan Africa,,,,
,South Asia,,,,
,Europe & Central Asia,,,,
,East Asia & Pacific,,,,
,Latin America & Caribbean,,,,
,Sub-Saharan Africa,,,,
,Sub-Saharan Africa,,,,
,Europe & Central Asia,,,,
,Middle East & North Africa,,,,
,South Asia,,,,
,East Asia & Pacific,,,,
,Latin America & Caribbean,,,,
,East Asia & Pacific,,,,
,Latin America & Caribbean,,,,
,Latin America & Caribbean,,,,
,East Asia & Pacific,,,,
,Europe & Central Asia,,,,
,Europe & Central Asia,,,,
,Middle East & North Africa,,,,
,Europe & Central Asia,,,,
,Europe & Central Asia,,,,
,Sub-Saharan Africa,,,,
,East Asia & Pacific,,,,
,Europe & Central Asia,,,,
,Sub-Saharan Africa,,,,
,Middle East & North Africa,,,,
,Sub-Saharan Africa,,,,
,Europe & Central Asia,,,,
,Sub-Saharan Africa,,,,
,East Asia & Pacific,,,,
,Europe & Central Asia,,,,
,Europe & Central Asia,,,,
,East Asia & Pacific,,,,
,Sub-Saharan Africa,,,,
,Sub-Saharan Africa,,,,
,Europe & Central Asia,,,,
,South Asia,,,,
,Latin America & Caribbean,,,,
,Latin America & Caribbean,,,,
,Sub-Saharan Africa,,,,
,Latin America & Caribbean,,,,
,Sub-Saharan Africa,,,,
,Europe & Central Asia,,,,
,Europe & Central Asia,,,,
,Middle East & North Africa,,,,
,Europe & Central Asia,,,,
,Sub-Saharan Africa,,,,
,East Asia & Pacific,,,,
,East Asia & Pacific,,,,
,Sub-Saharan Africa,,,,
,East Asia & Pacific,,,,
,Latin America & Caribbean,,,,
,Middle East & North Africa,,,,
,Europe & Central Asia,,,,
,Europe & Central Asia,,,,
,Sub-Saharan Africa,,,,
,Europe & Central Asia,,,,
,Middle East & North Africa,,,,
,Europe & Central Asia,,,,
,North America,,,,
,Latin America & Caribbean,,,,
,Europe & Central Asia,,,,
,East Asia & Pacific,,,,
,Latin America & Caribbean,,,,
,East Asia & Pacific,,,,
,Middle East & North Africa,,,,
,Sub-Saharan Africa,,,,
,Sub-Saharan Africa,,,,
,Europe & Central Asia,,,,
,Middle East & North Africa,,,,
,Sub-Saharan Africa,,,,
,Latin America & Caribbean,,,,
,Europe & Central Asia,,,,
,East Asia & Pacific,,,,
,Europe & Central Asia,,,,
,Europe & Central Asia,,,,
,Latin America & Caribbean,,,,
,Middle East & North Africa,,,,
,South Asia,,,,
,Latin America & Caribbean,,,,
,Europe & Central Asia,,,,
,Europe & Central Asia,,,,
,Latin America & Caribbean,,,,
,Sub-Saharan Africa,,,,
,South Asia,,,,
,Latin America & Caribbean,,,,
,Europe & Central Asia,,,,
,Sub-Saharan Africa,,,,
,Latin America & Caribbean,,,,
,East Asia & Pacific,,,,
,Europe & Central Asia,,,,
,Sub-Saharan Africa,,,,
,Sub-Saharan Africa,,,,
,East Asia & Pacific,,,,
,Sub-Saharan Africa,,,,
,North America,,,,
,Sub-Saharan Africa,,,,
,Sub-Saharan Africa,,,,
,Sub-Saharan Africa,,,,
,Latin America & Caribbean,,,,
,East Asia & Pacific,,,,
,Latin America & Caribbean,,,,
,Sub-Saharan Africa,,,,
,Sub-Saharan Africa,,,,
,Sub-Saharan Africa,,,,
,Latin America & Caribbean,,,,
,Sub-Saharan Africa,,,,
,Europe & Central Asia,,,,
,Latin America & Caribbean,,,,
,Europe & Central Asia,,,,
,Europe & Central Asia,,,,
,Europe & Central Asia,,,,
,Middle East & North Africa,,,,
,Latin America & Caribbean,,,,
,Latin America & Caribbean,,,,
,Middle East & North Africa,,,,
,Latin America & Caribbean,,,,
,Sub-Saharan Africa,,,,
,Sub-Saharan Africa,,,,
,Europe & Central Asia,,,,
,Sub-Saharan Africa,,,,
,East Asia & Pacific,,,,
,Europe & Central Asia,,,,
,Europe & Central Asia,,,,
,Sub-Saharan Africa,,,,
,Sub-Saharan Africa,,,,
,Europe & Central Asia,,,,
,Europe & Central Asia,,,,
,Sub-Saharan Africa,,,,
,Europe & Central Asia,,,,
,Latin America & Caribbean,,,,
,Latin America & Caribbean,,,,
,Sub-Saharan Africa,,,,
,Sub-Saharan Africa,,,,
,Latin America & Caribbean,,,,
,Latin America & Caribbean,,,,
,Latin America & Caribbean,,,,
,Europe & Central Asia,,,,
,Europe & Central Asia,,,,
,South Asia,,,,
,East Asia & Pacific,,,,
,Middle East & North Africa,,,,
,Middle East & North Africa,,,,
,Europe & Central Asia,,,,
,Middle East & North Africa,,,,
,Europe & Central Asia,,,,
,Latin America & Caribbean,,,,
,East Asia & Pacific,,,,
,Middle East & North Africa,,,,
,Europe & Central Asia,,,,
,Sub-Saharan Africa,,,,
,East Asia & Pacific,,,,
,Middle East & North Africa,,,,
,Europe & Central Asia,,,,
,East Asia & Pacific,,,,
,Europe & Central Asia,,,,
,Middle East & North Africa,,,,
,Sub-Saharan Africa,,,,
,Sub-Saharan Africa,,,,
,Middle East & North Africa,,,,
,Europe & Central Asia,,,,
,Europe & Central Asia,,,,
,Europe & Central Asia,,,,
,Sub-Saharan Africa,,,,
,Sub-Saharan Africa,,,,
,East Asia & Pacific,,,,
,South Asia,,,,
,Sub-Saharan Africa,,,,
,Middle East & North Africa,,,,
,Sub-Saharan Africa,,,,
,Sub-Saharan Africa,,,,
,Latin America & Caribbean,,,,
,East Asia & Pacific,,,,
,Europe & Central Asia,,,,
,East Asia & Pacific,,,,
,Europe & Central Asia,,,,
,Middle East & North Africa,,,,
,Sub-Saharan Africa,,,,
,East Asia & Pacific,,,,
,Sub-Saharan Africa,,,,
,South Asia,,,,
,Europe & Central Asia,,,,
,East Asia & Pacific,,,,
,Latin America & Caribbean,,,,
,Sub-Saharan Africa,,,,
,Sub-Saharan Africa,,,,
,Europe & Central Asia,,,,
,Middle East & North Africa,,,,
,South Asia,,,,
,Latin America & Caribbean,,,,
,East Asia & Pacific,,,,
,Latin America & Caribbean,,,,
,Latin America & Caribbean,,,,
,East Asia & Pacific,,,,
,Europe & Central Asia,,,,
,Europe & Central Asia,,,,
,Middle East & North Africa,,,,
,Europe & Central Asia,,,,
,Europe & Central Asia,,,,
,Sub-Saharan Africa,,,,
,East Asia & Pacific,,,,
,Europe & Central Asia,,,,
,Sub-Saharan Africa,,,,
,Middle East & North Africa,,,,
,Sub-Saharan Africa,,,,
,Europe & Central Asia,,,,
,Sub-Saharan Africa,,,,
,East Asia & Pacific,,,,
,Europe & Central Asia,,,,
,Europe & Central Asia,,,,
,East Asia & Pacific,,,,
,Sub-Saharan Africa,,,,
,Sub-Saharan Africa,,,,
,Europe & Central Asia,,,,
,South Asia,,,,
,Latin America & Caribbean,,,,
,Latin America & Caribbean,,,,
,Sub-Saharan Africa,,,,
,Latin America & Caribbean,,,,
,Sub-Saharan Africa,,,,
,Europe & Central Asia,,,,
,Europe & Central Asia,,,,
,Middle East & North Africa,,,,
,Europe & Central Asia,,,,
,Sub-Saharan Africa,,,,
,East Asia & Pacific,,,,
,East Asia & Pacific,,,,
,Sub-Saharan Africa,,,,
,East Asia & Pacific,,,,
,Latin America & Caribbean,,,,
,Middle East & North Africa,,,,
,Europe & Central Asia,,,,
,Europe & Central Asia,,,,
,Sub-Saharan Africa,,,,
,Europe & Central Asia,,,,
,Middle East & North Africa,,,,
,Europe & Central Asia,,,,
,North America,,,,
,Latin America & Caribbean,,,,
,Europe & Central Asia,,,,
,East Asia & Pacific,,,,
,Latin America & Caribbean,,,,
,East Asia & Pacific,,,,
